Disease,Drug
Alkylating Agent Cystitis,sodium bicarbonate
Alkylating Agent Cystitis,citric acid / sodium citrate
Abdominal Distension,bethanechol
Abdominal Distension,pamabrom
Abdominal Distension,vasopressin
Abdominal Radiological Procedure,vasopressin
Abnormal Uterine Bleeding,medroxyprogesterone
Abnormal Uterine Bleeding,norethindrone
Abnormal Uterine Bleeding,megestrol
Abnormal Uterine Bleeding,levonorgestrel
Abnormal Uterine Bleeding,ethinyl estradiol / levonorgestrel
Abnormal Uterine Bleeding,ethinyl estradiol / norgestimate
Abnormal Uterine Bleeding,ethinyl estradiol / norethindrone
Abnormal Uterine Bleeding,desogestrel / ethinyl estradiol
Abortion,misoprostol
Abortion,mifepristone
Abortion,oxytocin
Abortion,carboprost
Abortion,dinoprostone
Ectopic Pregnancy,methotrexate
CNS Infection,cefotaxime
Seizures (Convulsions),levetiracetam
Seizures (Convulsions),phenobarbital
Seizures (Convulsions),phenytoin
Seizures (Convulsions),diazepam
Seizures (Convulsions),oxcarbazepine
Seizures (Convulsions),zonisamide
Seizures (Convulsions),topiramate
Seizures (Convulsions),valproic acid
Seizures (Convulsions),primidone
Angina,aspirin
Angina,nitroglycerin
Angina,metoprolol
Angina,amlodipine
Angina,isosorbide mononitrate
Angina,isosorbide dinitrate
Angina,enoxaparin
Angina,ranolazine
Angina,atenolol
Angina,carvedilol
Angina,amlodipine / atorvastatin
Fecal Incontinence,dextranomer / sodium hyaluronate
Acetaminophen Overdose,acetylcysteine
Tendonitis,meloxicam
Tendonitis,naproxen
Tendonitis,indomethacin
Tendonitis,trolamine salicylate
Tendonitis,sulindac
GERD,omeprazole
GERD,pantoprazole
GERD,ranitidine
GERD,famotidine
GERD,lansoprazole
GERD,esomeprazole
GERD,rabeprazole
GERD,sucralfate
GERD,dexlansoprazole
GERD,omeprazole / sodium bicarbonate
Acidosis,sodium bicarbonate
Muscle Pain,ibuprofen
Muscle Pain,naproxen
Muscle Pain,acetaminophen
Muscle Pain,diclofenac
Muscle Pain,nabumetone
Acne,doxycycline
Acne,spironolactone
Acne,minocycline
Acne,clindamycin
Acne,tretinoin
Acne,isotretinoin
Acne,benzoyl peroxide
Acne,adapalene
Acne,tetracycline
Acne,cephalexin
Acne,sulfamethoxazole / trimethoprim
Rosacea,doxycycline
Rosacea,metronidazole
Rosacea,minocycline
Rosacea,azelaic acid
Rosacea,sulfacetamide sodium / sulfur
Rosacea,isotretinoin
Rosacea,ivermectin
Rosacea,brimonidine
HIV Infection,lamivudine
HIV Infection,efavirenz / emtricitabine / tenofovir
HIV Infection,ritonavir
